,Simpson's diversity,Shannon diversity,Chao1 richness,McIntosh's evenness,Pielou evenness,Simpson's evenness,Number of taxa
strain_sample_17,0.6765807595716691,2.0568617773917395,20.0,0.5687004986035922,0.47591300276950704,0.15459809977223635,20
strain_sample_18,0.6414985171565637,1.8600453118779436,20.0,0.5987508550656698,0.4303739606585056,0.13946943706739381,20
strain_sample_19,0.6591565984049285,1.9031178616459874,20.0,0.58381884724353,0.44034001026007036,0.14669493311594442,20
strain_sample_2,0.6738464157678883,1.8936503497120931,20.0,0.5710994371915971,0.4381494342657372,0.15330200990345946,20
strain_sample_20,0.5449814788699224,1.749881850486913,20.0,0.6745516077125095,0.40488453580635475,0.10988563690950581,20
strain_sample_21,0.6023850531882842,1.6262979248004692,20.0,0.6305680733748072,0.37628990790575695,0.12574979990296162,20
strain_sample_22,0.6562847792401495,1.926061849945712,20.0,0.5862732109748043,0.4456487492756191,0.14546926344857555,20
strain_sample_23,0.7471874005441563,2.2759266292796414,20.0,0.5028054953150876,0.5265998367654371,0.19777495309814658,20
strain_sample_24,0.7019274797663388,2.0154451514288163,20.0,0.5459609908928156,0.46633009785909973,0.16774441320791547,20
strain_sample_25,0.6492435218331674,2.1365096256654796,20.0,0.5922479511473497,0.4943417795851046,0.14254904217682945,20
strain_sample_26,0.6142575049927246,1.8478126269537054,20.0,0.6210826695085281,0.427543583878589,0.1296201498335229,20
strain_sample_27,0.639867409973186,1.9970489547399284,20.0,0.6001113918290857,0.4620736187402894,0.13883775416236896,20
strain_sample_28,0.6516735570605703,1.9213018017827819,20.0,0.5901927405488927,0.4445473778371259,0.1435435092956594,20
strain_sample_29,0.6632657143232707,1.9198611515541193,20.0,0.5802889729211602,0.44421404276142973,0.14848502848326195,20
strain_sample_3,0.6896287123289506,2.1289553758601776,20.0,0.5571105725259834,0.49259389076339133,0.16109737590480042,20
strain_sample_30,0.7367580580064012,2.1717659410765875,20.0,0.513071851087039,0.5024993228475236,0.18993933725506337,20
strain_sample_31,0.7140744244256241,2.1387465888085972,20.0,0.5347208724044612,0.4948593641200634,0.17487068059427174,20
strain_sample_32,0.7129398370926775,2.047802985822848,20.0,0.5357807422470571,0.4738169957629102,0.17417951517063174,20
strain_sample_33,0.7357845545935712,2.3055402149879387,20.0,0.5140196584135678,0.5334517753118763,0.18923950461369737,20
strain_sample_34,0.3670838996478454,1.1627428346866342,20.0,0.7955614673681303,0.26903335945410667,0.07899941235841526,20
strain_sample_35,0.5168885850819012,1.6199823169249001,20.0,0.6950632032681933,0.3748286138404901,0.10349579508171303,20
strain_sample_36,0.6354617787904788,1.9117850747733578,20.0,0.6037709006848334,0.4423454145465561,0.13715982876665794,20
strain_sample_37,0.6775949342881702,2.0087525228694525,20.0,0.5678080937758773,0.4647815694216922,0.155084411870534,20
strain_sample_38,0.6752571595172849,2.046778119839562,20.0,0.5698629943650335,0.47357986410296926,0.15396798256022318,20
strain_sample_39,0.6404953096293635,1.8739573346165248,20.0,0.5995879763527439,0.4335928996211964,0.13908024384452894,20
strain_sample_4,0.6074271247366768,1.9004650355313146,20.0,0.6265573216291733,0.4397262040938338,0.1273648872619176,20
strain_sample_40,0.7264323930748795,2.281408201232081,20.0,0.5230376877823498,0.5278681530890993,0.18277017722235567,20
strain_sample_41,0.7339723742651456,2.2068232575633506,20.0,0.5157794430444268,0.510610822094407,0.18795040500731383,20
strain_sample_42,0.7119543766325651,2.060381246895292,20.0,0.536699624193772,0.47672733133450923,0.17358361295501898,20
strain_sample_43,0.7604646341337127,2.3415122475026324,20.0,0.48942421673474423,0.5417749199188509,0.2087374439226266,20
strain_sample_44,0.71463954564407,2.323052685801399,20.0,0.5341922375832454,0.5375037795167071,0.175216990430058,20
strain_sample_45,0.6288858720906827,2.048867645490984,20.0,0.6091922690818844,0.4740633348145469,0.13472944369344417,20
strain_sample_46,0.5919234698998559,1.727789692444283,20.0,0.6388096194200749,0.3997728917536081,0.12252603693657593,20
strain_sample_47,0.6641958898278861,1.9899144132803765,20.0,0.5794869378258167,0.4604228412856641,0.14889633118061862,20
strain_sample_48,0.7069622769613634,2.3106466339895415,20.0,0.5413303804588804,0.5346332894161122,0.17062649641666636,20
strain_sample_49,0.5321315399750728,1.6176771846695717,20.0,0.6840102864162524,0.37429525645815526,0.10686764394705317,20
strain_sample_5,0.6557761710464541,1.9720781263740335,20.0,0.5867067994558468,0.4562959130918696,0.14525432522205678,20
strain_sample_50,0.6747260847904502,1.995126802520157,20.0,0.5703287342637359,0.46162887459425767,0.1537165990325068,20
strain_sample_51,0.7149633696192284,2.233581623323734,20.0,0.5338890206195531,0.5168021249511199,0.175416050678141,20
strain_sample_52,0.7522990467599497,2.367753404914273,20.0,0.49769639090987644,0.5478465520320003,0.20185630836690538,20
strain_sample_53,0.4481761384214885,1.3254787438313278,20.0,0.7428495722076005,0.30668690332893483,0.09060862257201645,20
strain_sample_54,0.6548801049964392,2.1296355612549838,20.0,0.5874699422731926,0.492751270844659,0.14487718825796506,20
strain_sample_55,0.6411706813040592,1.9766999325130348,20.0,0.5990245259611515,0.45736529833788253,0.13934201414118064,20
strain_sample_56,0.7179017685733766,2.273313467807663,20.0,0.5311299845968157,0.5259952081333529,0.17724322391934424,20
strain_sample_57,0.2848535800089842,0.9650131070612619,20.0,0.8456645826687353,0.22328300838758217,0.0699157523582767,20
strain_sample_58,0.6982575021510055,2.13184793105578,20.0,0.5493117750517226,0.49326316501601586,0.16570420261126836,20
strain_sample_59,0.6574215780786714,1.9427531849391955,20.0,0.5853028561062257,0.4495107605416622,0.14595198296372047,20
strain_sample_6,0.6822618532708505,2.2163877314810954,20.0,0.5636835281548215,0.512823832979308,0.15736228247916878,20
strain_sample_60,0.7013813106218493,2.0953500186442198,20.0,0.5464609713255434,0.48481834325816764,0.167437611169351,20
strain_sample_61,0.7003398162171384,2.021926662636491,20.0,0.5474133039000428,0.4678297783409065,0.16685566753917086,20
strain_sample_62,0.6136185794661535,1.868795640512169,20.0,0.6215968578993253,0.43239859606245334,0.1294058082060912,20
strain_sample_63,0.7567816787866208,2.328484709224433,20.0,0.4931724320083149,0.5387606313901707,0.20557661836722504,20
strain_sample_64,0.6275424041906708,1.8357092504245869,20.0,0.6102939555714373,0.4247431262440818,0.1342434697602363,20
strain_sample_65,0.5895639312006817,1.931380475887515,20.0,0.6406541279919885,0.44687936344249857,0.12182165214248597,20
strain_sample_66,0.6297724069764283,1.9514327968203427,20.0,0.6084642010667474,0.4515190336296423,0.13505206241290774,20
strain_sample_67,0.6716444261696346,2.0250000661047145,20.0,0.5730240326862956,0.46854089694370304,0.15227394929446494,20
strain_sample_68,0.610239915679554,1.8373778237919565,20.0,0.6243085971292712,0.42512919776834973,0.1282840444966958,20
strain_sample_69,0.7452137070315128,2.479496576980702,20.0,0.5047644371387127,0.5737014875175341,0.1962428960265306,20
strain_sample_7,0.6803397050175539,2.115727839296127,20.0,0.5653859956240257,0.489533326988696,0.15641604786339106,20
strain_sample_70,0.625306302654018,1.8011548692204582,20.0,0.6121232122705871,0.41674799526422934,0.13344232997287744,20
strain_sample_71,0.5279103231775479,1.6486797713757333,20.0,0.6870888493020526,0.38146857957355745,0.10591208080748707,20
strain_sample_72,0.56045680490893,1.8252759517232287,20.0,0.6629816104574292,0.4223290882331995,0.11375446272041678,20
strain_sample_73,0.653489855833429,2.084598583238453,20.0,0.5886519800890329,0.48233069534507866,0.1442959198792301,20
strain_sample_74,0.6676685315853661,1.9510718296732588,20.0,0.5764828276464199,0.4514355136961406,0.1504521983383693,20
strain_sample_75,0.6437268237705097,1.9629220096515263,20.0,0.5968871233296402,0.45417738716513373,0.1403417471086651,20
strain_sample_76,0.7533017570773343,2.3348369976846386,20.0,0.49668799550172066,0.5402304125435684,0.2026767576762752,20
strain_sample_77,0.6738899210176114,1.9537363671834203,20.0,0.5710613364363338,0.45205202962413893,0.1533224614094194,20
strain_sample_78,0.6862375113341084,1.9432320186012333,20.0,0.5601458821840062,0.4496215522187853,0.15935620670462694,20
strain_sample_79,0.5217776848206889,1.6589267147499698,20.0,0.6915372308156832,0.3838394990218375,0.10455388302248574,20
strain_sample_8,0.7352499322114694,2.2346406294056096,20.0,0.5145395018977024,0.5170471558860695,0.18885736429702277,20
strain_sample_80,0.7389759812191075,2.158677175203261,20.0,0.5109058397668229,0.4994708675872869,0.1915532533501093,20
strain_sample_81,0.710522816179411,2.218674253861386,20.0,0.5380316362582253,0.5133528844420094,0.17272518455543912,20
strain_sample_82,0.524606128493065,1.6253540278418583,20.0,0.6894891445575437,0.37607151071406664,0.10517594566691968,20
strain_sample_83,0.6329929837625705,1.96033051443732,20.0,0.6058119836492738,0.4535777716330586,0.13623717745944475,20
strain_sample_84,0.7231662935916958,2.246886019081408,20.0,0.5261506917209879,0.5198804722687007,0.18061384449426332,20
strain_sample_85,0.7303061271087508,2.183422971765844,20.0,0.5193214476391473,0.5051965057791523,0.18539538723655724,20
strain_sample_86,0.5833406367678104,1.877715155470798,20.0,0.6454925197683149,0.4344623774958326,0.12000210342599878,20
strain_sample_87,0.6098925842992879,1.8456769403022386,20.0,0.6245867363918634,0.4270494325173035,0.1281698270467119,20
strain_sample_88,0.7318684070409186,2.3120460800048632,20.0,0.5178150127647484,0.5349570907345509,0.1864756012083601,20
strain_sample_89,0.692465355103731,2.039863112694885,20.0,0.554558919817467,0.47197988210584696,0.16258330835169785,20
strain_sample_9,0.756139894239011,2.4796370051456313,20.0,0.4938226748341643,0.5737339795354127,0.20503558728464485,20
strain_sample_90,0.7241677571600342,2.267330860871152,20.0,0.5251981095214562,0.5246109632303457,0.18126959881557186,20
strain_sample_91,0.711873003948228,2.228081160837885,20.0,0.5367753971725313,0.5155294377695918,0.1735345895565293,20
strain_sample_92,0.7142438656895844,2.1977938574366482,20.0,0.5345624645249522,0.5085216156271862,0.17497437148868072,20
strain_sample_93,0.7018997230050601,2.2582629703096098,20.0,0.5459864652352564,0.5225128509150878,0.1677287941629411,20
strain_sample_94,0.7171094227951598,2.2096811760745,20.0,0.5318754284983859,0.511272082172873,0.1767467849019062,20
strain_sample_95,0.61122102871469,1.9386292595712082,20.0,0.6235223584429342,0.44855657405881316,0.12860777895136438,20
strain_sample_96,0.6638892626902162,1.9044885934135374,20.0,0.5797514727698215,0.4406571677271674,0.14876049602044225,20
strain_sample_97,0.7453578581869404,2.2849571497086467,20.0,0.5046215241708379,0.528689302446203,0.19635398777279572,20
strain_sample_98,0.7003734121695191,2.197122567199292,20.0,0.5473824196042767,0.5083662936915552,0.1668743764097744,20
strain_sample_99,0.6913914867877826,2.0342269302131704,20.0,0.5555262572160031,0.4706757922741855,0.1620175654895724,20
