,UnAmbiguouslyMapped_ds.7,UnAmbiguouslyMapped_ds.hous2,Huttenhower_LC1,Huttenhower_LC7,Huttenhower_HC2,Carma_eval_carma,Huttenhower_LC6,UnAmbiguouslyMapped_ds.gut,UnAmbiguouslyMapped_ds.buccal,Huttenhower_LC3,Huttenhower_HC1,BMI_bmi_reads,UnAmbiguouslyMapped_ds.nycsm,Huttenhower_LC5,Huttenhower_LC8,Raiphy_eval_RAIphy,Huttenhower_LC2,UnAmbiguouslyMapped_ds.hous1,UnAmbiguouslyMapped_ds.soil,Huttenhower_LC4,UnAmbiguouslyMapped_ds.cityparks,ani97_cLOW_stFalse_r5,ani95_cLOW_stFalse_r6,ani100_cLOW_stTrue_r3,ani100_cLOW_stTrue_r2,ani95_cLOW_stFalse_r7,ani97_cLOW_stFalse_r4,ani97_cLOW_stFalse_r6,ani95_cLOW_stFalse_r5,ani99_cHIGH_stFalse_r9,ani100_cLOW_stTrue_r0,ani100_cLOW_stTrue_r1,ani99_cHIGH_stFalse_r8,ani95_cLOW_stFalse_r4,ani97_cLOW_stFalse_r7,ani97_cHIGH_stTrue_r9,ani97_cLOW_stFalse_r3,ani95_cLOW_stFalse_r0,ani100_cLOW_stTrue_r5,ani100_cLOW_stTrue_r4,ani95_cLOW_stFalse_r1,ani97_cLOW_stFalse_r2,ani97_cHIGH_stTrue_r8,ani97_cLOW_stFalse_r0,ani95_cLOW_stFalse_r3,ani100_cLOW_stTrue_r6,ani100_cLOW_stTrue_r7,ani95_cLOW_stFalse_r2,ani97_cLOW_stFalse_r1,ani99_cLOW_stTrue_r8,ani99_cHIGH_stTrue_r9,ani100_cHIGH_stFalse_r5,ani99_cLOW_stFalse_r3,ani100_cHIGH_stTrue_r0,ani95_cLOW_stTrue_r6,ani95_cLOW_stTrue_r7,ani100_cHIGH_stTrue_r1,ani99_cLOW_stFalse_r2,ani99_cHIGH_stTrue_r8,ani100_cHIGH_stFalse_r4,ani99_cLOW_stTrue_r9,ani97_cHIGH_stFalse_r8,ani100_cHIGH_stFalse_r6,ani99_cLOW_stFalse_r0,ani100_cHIGH_stTrue_r3,ani95_cLOW_stTrue_r5,ani100_cLOW_stFalse_r9,ani100_cLOW_stFalse_r8,ani95_cLOW_stTrue_r4,ani100_cHIGH_stTrue_r2,ani99_cLOW_stFalse_r1,ani100_cHIGH_stFalse_r7,ani97_cHIGH_stFalse_r9,ani100_cHIGH_stFalse_r3,ani99_cLOW_stFalse_r5,ani95_cLOW_stTrue_r0,ani100_cHIGH_stTrue_r6,ani100_cHIGH_stTrue_r7,ani95_cLOW_stTrue_r1,ani99_cLOW_stFalse_r4,ani100_cHIGH_stFalse_r2,ani100_cHIGH_stFalse_r0,ani99_cLOW_stFalse_r6,ani95_cLOW_stTrue_r3,ani100_cHIGH_stTrue_r5,ani97_cLOW_stTrue_r9,ani97_cLOW_stTrue_r8,ani100_cHIGH_stTrue_r4,ani95_cLOW_stTrue_r2,ani99_cLOW_stFalse_r7,ani100_cHIGH_stFalse_r1,ani99_cHIGH_stTrue_r0,ani97_cHIGH_stFalse_r2,ani99_cLOW_stTrue_r1,ani100_cHIGH_stTrue_r9,ani97_cLOW_stTrue_r5,ani100_cLOW_stFalse_r3,ani97_cLOW_stTrue_r4,ani100_cLOW_stFalse_r2,ani100_cHIGH_stTrue_r8,ani97_cHIGH_stFalse_r3,ani99_cLOW_stTrue_r0,ani99_cHIGH_stTrue_r1,ani99_cHIGH_stTrue_r3,ani99_cLOW_stTrue_r2,ani97_cHIGH_stFalse_r1,ani99_cLOW_stFalse_r9,ani100_cLOW_stFalse_r0,ani97_cLOW_stTrue_r6,ani100_cLOW_stFalse_r1,ani97_cLOW_stTrue_r7,ani99_cLOW_stFalse_r8,ani99_cLOW_stTrue_r3,ani97_cHIGH_stFalse_r0,ani99_cHIGH_stTrue_r2,ani97_cHIGH_stFalse_r4,ani99_cLOW_stTrue_r7,ani99_cHIGH_stTrue_r6,ani95_cLOW_stTrue_r9,ani97_cLOW_stTrue_r3,ani100_cLOW_stFalse_r5,ani97_cLOW_stTrue_r2,ani100_cLOW_stFalse_r4,ani95_cLOW_stTrue_r8,ani99_cHIGH_stTrue_r7,ani97_cHIGH_stFalse_r5,ani99_cLOW_stTrue_r6,ani99_cLOW_stTrue_r4,ani97_cHIGH_stFalse_r7,ani99_cHIGH_stTrue_r5,ani100_cHIGH_stFalse_r9,ani100_cLOW_stFalse_r6,ani97_cLOW_stTrue_r0,ani100_cLOW_stFalse_r7,ani97_cLOW_stTrue_r1,ani99_cHIGH_stTrue_r4,ani100_cHIGH_stFalse_r8,ani99_cLOW_stTrue_r5,ani97_cHIGH_stFalse_r6,ani97_cHIGH_stTrue_r6,ani99_cHIGH_stFalse_r3,ani99_cHIGH_stFalse_r2,ani97_cHIGH_stTrue_r7,ani97_cHIGH_stTrue_r5,ani99_cHIGH_stFalse_r0,ani100_cLOW_stTrue_r9,ani100_cLOW_stTrue_r8,ani99_cHIGH_stFalse_r1,ani97_cHIGH_stTrue_r4,ani97_cHIGH_stTrue_r0,ani95_cLOW_stFalse_r9,ani99_cHIGH_stFalse_r5,ani99_cHIGH_stFalse_r4,ani95_cLOW_stFalse_r8,ani97_cHIGH_stTrue_r1,ani97_cHIGH_stTrue_r3,ani97_cLOW_stFalse_r9,ani99_cHIGH_stFalse_r6,ani99_cHIGH_stFalse_r7,ani97_cLOW_stFalse_r8,ani97_cHIGH_stTrue_r2,NegControl_LM,NegControl_MH1,NegControl_MH2,RM1_S001__insert_5000,RM2_S001__insert_270,RH_S001__insert_270,RL_S001__insert_270,RH_S003__insert_270,RM2_S002__insert_270,RM1_S002__insert_5000,RH_S002__insert_270,RH_S004__insert_270,RH_S005__insert_270
1001589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,242,0,0,0,0,0,0,0,0,0,0,0,0,0,5392,0,0,0,0,0,0,0,0,0,0,0,7258,0,0,0,0,0,4326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22900,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18096,0,0,0,0,0,0,0,11664,0,0,0,0,0,0,0,0,0,0,0,4824,264,0,0,0,0,0,0,2232,0,0,992,0,0,0,0,0,0,2204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11394,0,0,0,0,0,0,0,0,0,0,0,6886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41038,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32339,0,72960,0,0,137037,214480,134535
1001994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33022,396,0,0,0,0,0,1084,58860,34630,0,0,0,0,15486,0,0,0,0,0,0,0,0,0,0,0,0,87596,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,14728,0,0,0,0,0,0,0,304,0,0,0,0,201446,0,0,0,0,0,0,0,19602,0,13488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8954,1214,0,0,8,0,0,0,0,0,0,1574,0,0,0,0,112,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0
1002367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
