@SampleID: 28
@Version: 0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain
@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_GENOMEID

2	superkingdom	2	Bacteria	100.0
1643826	family	2|201174|84998|1643822|1643826	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.499
186803	family	2|1239|186801|186802|186803	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	11.4766
186804	family	2|1239|186801|186802|186804	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	0.0554
186806	family	2|1239|186801|186802|186806	Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae	0.1848
186807	family	2|1239|186801|186802|186807	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae	0.0
543	family	2|1224|1236|91347|543	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.0
128827	family	2|1239|526524|526525|128827	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae	0.4066
81852	family	2|1239|91061|186826|81852	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	0.0
1491775	family	2|1239|186801|186802|1491775	Bacteria|Firmicutes|Clostridia|Clostridiales|Proteinivoraceae	0.0
186827	family	2|1239|91061|186826|186827	Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae	0.0185
541000	family	2|1239|186801|186802|541000	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	7.688
995019	family	2|1224|28216|80840|995019	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae	0.0
186828	family	2|1239|91061|186826|186828	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae	0.1478
41294	family	2|1224|28211|356|41294	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae	0.0
41295	family	2|1224|28211|204441|41295	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae	0.1109
41297	family	2|1224|28211|204457|41297	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae	0.0
543314	family	2|1239|186801|186802|543314	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis	0.2587
72275	family	2|1224|1236|135622|72275	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae	0.0
90964	family	2|1239|91061|1385|90964	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae	0.0
990719	family	2|1239|186801|186802|990719	Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae	0.1294
558415	family	2|976|200643|1970189|558415	Bacteria|Bacteroidetes|Bacteroidia|Marinilabiliales|Marinilabiliaceae	0.0
72293	family	2|1224|29547|213849|72293	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	0.037
80864	family	2|1224|28216|80840|80864	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae	0.0
33958	family	2|1239|91061|186826|33958	Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	9.0371
543313	family	2|1239|186801|186802|543313	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XII. Incertae Sedis	0.0
213116	family	2|1224|28221|213115|213116	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfomicrobiaceae	0.0
31979	family	2|1239|186801|186802|31979	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	0.0
194924	family	2|1224|28221|213115|194924	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	0.6283
1647988	family	2|74201|203494|48461|1647988	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae	17.8525
1769717	family	2|200918|188708|1769716|1769717	Bacteria|Thermotogae|Thermotogae|Mesoaciditogales|Mesoaciditogaceae	0.0
31977	family	2|1239|909932|1843489|31977	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae	0.0
563835	family	2|976|1853228|1853229|563835	Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae	0.0
216572	family	2|1239|186801|186802|216572	Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae	0.0739
1185407	family	2|1239|186801|186802|1185407	Bacteria|Firmicutes|Clostridia|Clostridiales|Defluviitaleaceae	0.0
1254401	genus	2|976|200643|1970189|1471398|1254401	Bacteria|Bacteroidetes|Bacteroidia|Marinilabiliales|Prolixibacteraceae|Sunxiuqinia	0.0
1784836	genus	2|976|200643|171549|171551|1784836	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Fermentimonas	0.0
1926663	genus	2|1239|186801|186802|541000|1926663	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Phocea	0.0
459786	genus	2|1239|186801|186802|216572|459786	Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Oscillibacter	0.0739
1279	genus	2|1239|91061|1385|90964|1279	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	0.0
1911312	genus	2|976|200643|171549|171551|1911312	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Gabonibacter	0.0
100883	genus	2|1239|526524|526525|128827|100883	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Coprobacillus	0.0924
1973274	genus	2|1239|186801|186802|186803|1973274	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Niameybacter	0.0
544	genus	2|1224|1236|91347|543|544	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Citrobacter	0.0
1870884	genus	2|1239|186801|186802|186804|1870884	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Clostridioides	0.0
241189	genus	2|1239|186801|186802|186803|241189	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Hespellia	0.0185
397864	genus	2|976|200643|171549|2005519|397864	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella	0.0
1578	genus	2|1239|91061|186826|33958|1578	Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	9.0187
46123	genus	2|1239|91061|186826|186827|46123	Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae|Abiotrophia	0.0185
561	genus	2|1224|1236|91347|543|561	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia	0.0
946234	genus	2|1239|186801|186802|946234	Bacteria|Firmicutes|Clostridia|Clostridiales|Flavonifractor	0.0
1843210	genus	2|1239|186801|186802|186803|1843210	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerocolumna	0.0269
99906	genus	2|1239|91061|186826|186828|99906	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Alkalibacterium	0.0232
33870	genus	2|201174|84998|84999|84107|33870	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Coriobacterium	0.0
2129	genus	2|544448|31969|2085|2092|2129	Bacteria|Tenericutes|Mollicutes|Mycoplasmatales|Mycoplasmataceae|Ureaplasma	0.0
1164882	genus	2|1239|186801|186802|186803|1164882	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoanaerobaculum	0.6091
166484	genus	2|1239|186801|186802|31979|166484	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Caminicella	0.0
572511	genus	2|1239|186801|186802|186803|572511	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	2.4669
1926672	genus	2|976|200643|171549|171552|1926672	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotellamassilia	0.0
204475	genus	2|1239|186801|186802|541000|204475	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Gemmiger	0.0
1647	genus	2|1239|526524|526525|128827|1647	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelothrix	0.0
12916	genus	2|1224|28216|80840|80864|12916	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Acidovorax	0.0
1407607	genus	2|1239|186801|186802|186803|1407607	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Fusicatenibacter	0.0
46205	genus	2|1239|186801|186802|186803|46205	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Pseudobutyrivibrio	0.2756
1185408	genus	2|1239|186801|186802|1185407|1185408	Bacteria|Firmicutes|Clostridia|Clostridiales|Defluviitaleaceae|Defluviitalea	0.0
2048137	genus	2|1239|186801|186802|541000|2048137	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Agathobaculum	0.0
239759	genus	2|976|200643|171549|171550|239759	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes	0.0
292632	genus	2|1239|186801|186802|541000|292632	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Subdoligranulum	0.1109
390805	genus	2|1239|186801|186802|31979|390805	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Geosporobacter	0.0
191769	genus	2|1239|91061|186826|186828|191769	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Marinilactibacillus	0.0
1573534	genus	2|1239|526524|526525|128827|1573534	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea	0.0
1573535	genus	2|1239|526524|526525|128827|1573535	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemanella	0.0
249523	genus	2|1224|1236|135622|72275|249523	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales|Alteromonadaceae|Aestuariibacter	0.0
2740	genus	2|1239|186801|186802|186807|2740	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|Peptococcus	0.0
1473205	genus	2|201174|84998|84999|84107|1473205	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalimassilia	0.1663
174708	genus	2|1239|526524|526525|128827|174708	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Allobaculum	0.0
2747	genus	2|1239|91061|186826|186828|2747	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Carnobacterium	0.037
191	genus	2|1224|28211|204441|41295|191	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Azospirillum	0.0369
283168	genus	2|976|200643|171549|1853231|283168	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Odoribacteraceae|Odoribacter	0.0185
1730	genus	2|1239|186801|186802|186806|1730	Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Eubacterium	0.1848
596767	genus	2|1239|186801|186802|541000|596767	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Hydrogenoanaerobacterium	0.2033
44748	genus	2|1239|186801|186802|541000|44748	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Sporobacter	0.0
209	genus	2|1224|29547|213849|72293|209	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter	0.037
102106	genus	2|201174|84998|84999|84107|102106	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella	0.0
390876	genus	2|1224|28211|204441|41295|390876	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Nisaea	0.0739
1855714	genus	2|1239|186801|186802|186803|1855714	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerobium	0.0
1253	genus	2|1239|91061|186826|33958|1253	Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Pediococcus	0.0185
248038	genus	2|200930|68337|191393|191394|248038	Bacteria|Deferribacteres|Deferribacteres|Deferribacterales|Deferribacteraceae|Mucispirillum	0.0
1257	genus	2|1239|186801|186802|186804|1257	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptostreptococcus	0.0004
41707	genus	2|1224|28221|213115|194924|41707	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Lawsonia	0.0185
31980	genus	2|1239|186801|186802|186803|31980	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Acetitomaculum	0.0
1263	genus	2|1239|186801|186802|541000|1263	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminococcus	4.6714
1283313	genus	2|976|200643|171549|171552|1283313	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Alloprevotella	0.0
61170	genus	2|1239|526524|526525|128827|61170	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Holdemania	0.016
265975	genus	2|1239|186801|186802|186803|265975	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Oribacterium	0.2118
1506553	genus	2|1239|186801|186802|186803|1506553	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnoclostridium	0.9878
142587	genus	2|1239|91061|186826|186828|142587	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Isobaculum	0.0
1501226	genus	2|1239|186801|186802|186804|1501226	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia	0.0551
1913599	genus	2|1239|186801|186802|186804|1913599	Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Peptoanaerobacter	0.0
437506	genus	2|1224|28211|204455|69657|437506	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales|Hyphomonadaceae|Robiginitomaculum	0.0
1392389	genus	2|1239|186801|186802|1392389	Bacteria|Firmicutes|Clostridia|Clostridiales|Intestinimonas	0.1109
109326	genus	2|1239|186801|186802|543314|109326	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiales Family XIII. Incertae Sedis|Anaerovorax	0.2587
1506577	genus	2|1239|186801|186802|186803|1506577	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Tyzzerella	0.0
33042	genus	2|1239|186801|186802|186803|33042	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus	1.0719
216851	genus	2|1239|186801|186802|541000|216851	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium	0.3278
990721	genus	2|1239|186801|186802|990719|990721	Bacteria|Firmicutes|Clostridia|Clostridiales|Christensenellaceae|Christensenella	0.1294
1301	genus	2|1239|91061|186826|1300|1301	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.0185
1213720	genus	2|1239|186801|186802|186803|1213720	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Stomatobaculum	0.0
1980697	genus	2|1224|28216|80840|995019|1980697	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Duodenibacillus	0.0
1923867	genus	2|976|200643|171549|171551|1923867	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Gabonia	0.0
577309	genus	2|976|200643|171549|171552|577309	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Paraprevotella	0.0
577310	genus	2|1224|28216|80840|995019|577310	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.0
1940255	genus	2|1239|186801|186802|541000|1940255	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Fournierella	0.0
264995	genus	2|1239|186801|186802|186806|264995	Bacteria|Firmicutes|Clostridia|Clostridiales|Eubacteriaceae|Anaerofustis	0.0
133925	genus	2|201174|84998|84999|1643824|133925	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella	0.0
415014	genus	2|1239|186801|186802|415014	Bacteria|Firmicutes|Clostridia|Clostridiales|Proteiniborus	0.0
1348911	genus	2|976|200643|171549|2005519|1348911	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Coprobacter	0.037
816	genus	2|976|200643|171549|815|816	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides	24.0067
1508657	genus	2|1239|186801|186802|541000|1508657	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ruminiclostridium	0.863
1649459	genus	2|1239|186801|186802|31979|1649459	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Hungatella	0.0
253238	genus	2|1239|186801|186802|541000|253238	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Ethanoligenens	0.0
117563	genus	2|1239|91061|186826|186828|117563	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Granulicatella	0.0739
830	genus	2|1239|186801|186802|186803|830	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Butyrivibrio	3.5633
165696	genus	2|1224|28211|204457|41297|165696	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Novosphingobium	0.0
836	genus	2|976|200643|171549|171551|836	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Porphyromonadaceae|Porphyromonas	8.1283
838	genus	2|976|200643|171549|171552|838	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae|Prevotella	18.4254
69959	genus	2|1224|28211|204441|41295|69959	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Rhodospira	0.0
1935176	genus	2|1239|186801|186802|541000|1935176	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Angelakisella	0.5914
841	genus	2|1239|186801|186802|186803|841	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Roseburia	0.0
1357	genus	2|1239|91061|186826|1300|1357	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Lactococcus	0.0
100175	genus	2|1239|186801|186802|541000|100175	Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Papillibacter	0.0
140625	genus	2|1239|186801|186802|186803|140625	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Lachnobacterium	0.099
1929045	genus	2|1239|526524|526525|128827|1929045	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Traorella	0.0554
909656	genus	2|976|200643|171549|909656	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Phocaeicola	0.0554
1729679	genus	2|1239|526524|526525|128827|1729679	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibaculum	0.0
1663717	genus	2|1239|186801|186802|186803|1663717	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Herbinix	0.0
174951	genus	2|1224|28216|80840|80864|174951	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Ramlibacter	0.0
872	genus	2|1224|28221|213115|194924|872	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Desulfovibrio	0.6099
1193324	genus	2|976|200643|1970189|558415|1193324	Bacteria|Bacteroidetes|Bacteroidia|Marinilabiliales|Marinilabiliaceae|Alkalitalea	0.0
189330	genus	2|1239|186801|186802|186803|189330	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Dorea	0.0
195950	genus	2|976|200643|171549|2005525|195950	Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Tannerellaceae|Tannerella	0.1478
82802	genus	2|1239|91061|186826|186828|82802	Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Trichococcus	0.0137
653683	genus	2|1239|186801|186802|186803|653683	Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerosporobacter	0.037
239934	genus	2|74201|203494|48461|1647988|239934	Bacteria|Verrucomicrobia|Verrucomicrobiae|Verrucomicrobiales|Akkermansiaceae|Akkermansia	17.8525
374	genus	2|1224|28211|356|41294|374	Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium	0.0
